30, 80, 40, 22, 60, 21, 30, 22
70, 20, 30, 22, 21, 77, 45, 30
20, 31, 38, 15, 60, 75, 84, 100
22, 62, 64, 17, 70, 75, 90, 99
50, 41, 50, 59, 91, 95, 96, 98
24, 27, 30, 42, 50, 57, 74, 92
39, 34, 45, 51, 52, 54, 74, 78
17, 33, 43, 45, 66, 69, 72, 95
9, 35, 38, 41, 45, 61, 85, 100
70, 29, 40, 48, 53, 85, 91, 99
33, 35, 38, 41, 45, 61, 85, 100
20, 33, 43, 45, 66, 69, 72, 95
59, 62, 64, 69, 70, 75, 90, 99
15, 31, 38, 51, 60, 75, 84, 100
30, 20, 40, 10, 15, 17, 30, 22
20, 28, 34, 43, 46, 47, 49, 54
21, 24, 33, 41, 42, 48, 70, 84
45, 56, 59, 62, 68, 76, 79, 94
22, 24, 53, 59, 63, 69, 79, 100
90, 22, 31, 34, 35, 39, 45, 78
21, 22, 31, 34, 35, 39, 45, 78
27, 45, 49, 68, 77, 93, 97, 100
10, 28, 32, 33, 51, 52, 66, 82
28, 59, 72, 73, 82, 86, 89, 99
30, 80, 40, 22, 60, 21, 30, 22
70, 20, 30, 22, 21, 77, 45, 30
20, 31, 38, 15, 60, 75, 84, 100
22, 62, 64, 17, 70, 75, 90, 99
50, 41, 50, 59, 91, 95, 96, 98
24, 27, 30, 42, 50, 57, 74, 92
39, 34, 45, 51, 52, 54, 74, 78
17, 33, 43, 45, 66, 69, 72, 95
9, 35, 38, 41, 45, 61, 85, 100
70, 29, 40, 48, 53, 85, 91, 99
33, 35, 38, 41, 45, 61, 85, 100
20, 33, 43, 45, 66, 69, 72, 95
59, 62, 64, 69, 70, 75, 90, 99
15, 31, 38, 51, 60, 75, 84, 100
30, 20, 40, 10, 15, 17, 30, 22
20, 28, 34, 43, 46, 47, 49, 54
21, 24, 33, 41, 42, 48, 70, 84
45, 56, 59, 62, 68, 76, 79, 94
22, 24, 53, 59, 63, 69, 79, 100
90, 22, 31, 34, 35, 39, 45, 78
21, 22, 31, 34, 35, 39, 45, 78
27, 45, 49, 68, 77, 93, 97, 100
10, 28, 32, 33, 51, 52, 66, 82
28, 59, 72, 73, 82, 86, 89, 99
30, 80, 40, 22, 60, 21, 30, 22
70, 20, 30, 22, 21, 77, 45, 30
20, 31, 38, 15, 60, 75, 84, 100
22, 62, 64, 17, 70, 75, 90, 99
50, 41, 50, 59, 91, 95, 96, 98
24, 27, 30, 42, 50, 57, 74, 92
39, 34, 45, 51, 52, 54, 74, 78
17, 33, 43, 45, 66, 69, 72, 95
9, 35, 38, 41, 45, 61, 85, 100
70, 29, 40, 48, 53, 85, 91, 99
33, 35, 38, 41, 45, 61, 85, 100
20, 33, 43, 45, 66, 69, 72, 95
59, 62, 64, 69, 70, 75, 90, 99
15, 31, 38, 51, 60, 75, 84, 100
30, 20, 40, 10, 15, 17, 30, 22
20, 28, 34, 43, 46, 47, 49, 54
21, 24, 33, 41, 42, 48, 70, 84
45, 56, 59, 62, 68, 76, 79, 94
22, 24, 53, 59, 63, 69, 79, 100
90, 22, 31, 34, 35, 39, 45, 78
21, 22, 31, 34, 35, 39, 45, 78
27, 45, 49, 68, 77, 93, 97, 100
10, 28, 32, 33, 51, 52, 66, 82
28, 59, 72, 73, 82, 86, 89, 99
30, 80, 40, 22, 60, 21, 30, 22
70, 20, 30, 22, 21, 77, 45, 30
20, 31, 38, 15, 60, 75, 84, 100
22, 62, 64, 17, 70, 75, 90, 99
50, 41, 50, 59, 91, 95, 96, 98
24, 27, 30, 42, 50, 57, 74, 92
39, 34, 45, 51, 52, 54, 74, 78
17, 33, 43, 45, 66, 69, 72, 95
9, 35, 38, 41, 45, 61, 85, 100
70, 29, 40, 48, 53, 85, 91, 99
33, 35, 38, 41, 45, 61, 85, 100
20, 33, 43, 45, 66, 69, 72, 95
59, 62, 64, 69, 70, 75, 90, 99
15, 31, 38, 51, 60, 75, 84, 100
30, 20, 40, 10, 15, 17, 30, 22
20, 28, 34, 43, 46, 47, 49, 54
21, 24, 33, 41, 42, 48, 70, 84
45, 56, 59, 62, 68, 76, 79, 94
22, 24, 53, 59, 63, 69, 79, 100
90, 22, 31, 34, 35, 39, 45, 78
21, 22, 31, 34, 35, 39, 45, 78
27, 45, 49, 68, 77, 93, 97, 100
10, 28, 32, 33, 51, 52, 66, 82
28, 59, 72, 73, 82, 86, 89, 99
End
